Date,Open,High,Low,Close,Adj Close,Volume
9/14/2016,46.790001,47.209999,46.639999,46.639999,35.067848,100900
9/15/2016,47,47.150002,46.720001,47.130001,35.436275,56800
9/16/2016,46.5,46.610001,46.009998,46.029999,34.609203,117700
9/19/2016,46.700001,46.900002,46.34,46.34,34.842285,29300
9/20/2016,46.560001,47.25,46.48,47.099998,35.413719,155300
9/21/2016,47.360001,47.880001,47.189999,47.880001,36.000183,58400
9/22/2016,48.779999,49.150002,48.549999,48.700001,36.616726,135200
9/23/2016,48.110001,48.16,47.5,47.5,35.714474,204000
9/26/2016,47.77,48,47.549999,47.549999,35.752064,95100
9/27/2016,47.439999,47.59,47.07,47.209999,35.496429,204300
9/28/2016,47.57,48.259998,47.200001,48.240002,36.27087,98800
9/29/2016,48.799999,49.119999,48.400002,48.400002,36.391171,74500
9/30/2016,48.790001,48.990002,48.610001,48.73,36.63929,137600
10/3/2016,48.990002,49.240002,48.889999,49.139999,36.947559,58000
10/4/2016,49.259998,49.330002,48.509998,48.700001,36.616726,38100
10/5/2016,48.880001,49.32,48.790001,49.150002,36.955078,92600
10/6/2016,49.07,49.380001,48.869999,49.299999,37.067863,23000
10/7/2016,49.18,49.18,48.740002,49.040001,36.872372,57300
10/10/2016,49.349998,49.790001,49.349998,49.77,37.421249,44400
10/11/2016,49.52,49.630001,49.279999,49.490002,37.21072,48700
10/12/2016,49.369999,49.52,49.16,49.48,37.203197,56500
10/13/2016,48.610001,49.080002,48.279999,49,36.842293,136900
10/14/2016,48.720001,48.98,48.599998,48.759998,36.661839,67600
10/17/2016,48.459999,48.459999,48.07,48.07,36.143047,116000
10/18/2016,48.369999,48.450001,48.060001,48.400002,36.391171,139900
10/19/2016,48.450001,48.93,48.169998,48.580002,36.526505,88200
10/20/2016,48.34,48.869999,48.27,48.439999,36.421238,36200
10/21/2016,48.98,49.259998,48.91,49.259998,37.037788,46500
10/24/2016,49.369999,49.650002,49.220001,49.290001,37.060345,120900
10/25/2016,49.82,49.98,49.700001,49.790001,37.436283,49700
10/26/2016,48.950001,49.220001,48.779999,48.950001,36.804699,104400
10/27/2016,49.290001,49.299999,48.970001,49.130001,36.940041,208500
10/28/2016,48.959999,49.189999,48.860001,48.959999,36.812222,172900
10/31/2016,48.98,48.98,48.560001,48.610001,36.549061,189500
11/1/2016,49.419998,49.48,48.830002,48.950001,36.804699,51700
11/2/2016,47.610001,47.610001,46.419998,46.669998,35.090401,121400
11/3/2016,46.77,46.860001,46.259998,46.259998,34.782124,68500
11/4/2016,45.790001,46.110001,45.59,45.91,34.518974,104300
11/7/2016,46.84,47.380001,46.810001,47.349998,35.601685,28500
11/8/2016,47.549999,48,47.529999,48,36.090408,71000
11/9/2016,47.790001,48.5,47.75,48,36.090408,181000
11/10/2016,48.779999,49.720001,47.959999,48.169998,36.218231,92200
11/11/2016,47.490002,47.490002,46.77,47.189999,35.481384,48100
11/14/2016,46.279999,46.610001,46.029999,46.549999,35.000183,75100
11/15/2016,46.810001,47.689999,46.810001,47.610001,35.79718,97600
11/16/2016,47.209999,47.419998,46.860001,47.380001,35.624245,124100
11/17/2016,48.029999,48.299999,47.560001,47.560001,35.759583,92700
11/18/2016,47.810001,47.810001,47.450001,47.610001,35.79718,201500
11/21/2016,48.540001,48.93,48.540001,48.91,36.774628,53700
11/22/2016,48.950001,49.07,48.439999,48.830002,36.71447,74600
11/23/2016,48.68,49.099998,48.59,48.990002,36.834774,139700
11/25/2016,48.75,48.849998,48.52,48.549999,36.503948,25000
11/28/2016,48.360001,48.700001,48.360001,48.389999,36.383648,105600
11/29/2016,48.41,48.5,48.209999,48.330002,36.338531,54300
11/30/2016,49.43,49.720001,49.02,49.209999,37.000191,160500
12/1/2016,50.119999,50.189999,49.849998,49.990002,37.586662,102700
12/2/2016,51.599998,51.799999,51.16,51.459999,38.691933,95300
12/5/2016,52.099998,52.25,51.68,51.720001,38.887417,105800
12/6/2016,51.119999,51.209999,50.889999,51.189999,38.488918,104900
12/7/2016,51.369999,51.900002,51.220001,51.869999,39.000202,123000
12/8/2016,52.32,53.209999,52.290001,53.07,39.902462,84100
12/9/2016,53.200001,53.900002,53.200001,53.650002,40.338554,103100
12/12/2016,54.700001,55.349998,54.689999,55.09,41.421268,131700
12/13/2016,54.75,55.040001,54.450001,54.75,41.165623,121700
12/14/2016,54.330002,54.75,53.32,53.419998,40.165619,193000
12/15/2016,54.439999,55.169998,54.439999,55.150002,41.466381,138900
12/16/2016,54.540001,55,53.810001,53.900002,40.526527,155100
12/19/2016,54.450001,54.450001,54,54.099998,40.676903,102700
12/20/2016,55.41,55.540001,55.25,55.450001,41.691944,110000
12/21/2016,56.119999,56.689999,55.75,55.869999,42.007732,82900
12/22/2016,55.23,55.470001,55.150002,55.34,42.514,123300
12/23/2016,55.98,55.98,55.68,55.779999,42.85202,210500
12/27/2016,55.669998,56.630001,55.669998,56.130001,43.120907,207800
12/28/2016,55.68,55.68,55.119999,55.18,42.391083,153600
12/29/2016,56.110001,56.389999,55.959999,55.990002,43.013351,309800
12/30/2016,56.029999,56.290001,55.959999,56.119999,43.113224,96500
1/3/2017,58.580002,59.099998,57.849998,58.349998,44.826378,162800
1/4/2017,57.099998,57.68,57.07,57.68,44.311665,102400
1/5/2017,56.830002,57.060001,56.5,56.950001,43.750854,233400
1/6/2017,56.5,56.77,56.360001,56.560001,43.451248,92100
1/9/2017,56.119999,56.43,56.07,56.200001,43.174686,82700
1/10/2017,56.470001,56.549999,56.049999,56.200001,43.174686,66200
1/11/2017,56.040001,57.209999,55.849998,57,43.789268,83100
1/12/2017,55.720001,56.439999,55.5,55.799999,42.86739,41100
1/13/2017,54.650002,55.150002,54.560001,54.919998,42.191345,219800
1/17/2017,54.560001,54.66,54.200001,54.209999,41.645889,94600
1/18/2017,54.060001,54.439999,54.040001,54.259998,41.684311,148400
1/19/2017,53.400002,53.52,53.18,53.439999,41.054359,109200
1/20/2017,53.200001,53.400002,52.919998,53.18,40.854622,78300
1/23/2017,52.889999,53.400002,52.889999,53.400002,41.023628,56100
1/24/2017,53.599998,53.799999,53.470001,53.599998,41.177277,269300
1/25/2017,53.990002,54.389999,53.959999,54,41.484562,78000
1/26/2017,55.220001,55.830002,55.220001,55.349998,42.521683,76300
1/27/2017,57.880001,58.349998,57.790001,57.950001,44.519089,120600
1/30/2017,56.650002,56.93,56.529999,56.630001,43.505024,59300
1/31/2017,56.369999,56.459999,55.689999,56.209999,43.182362,120700
2/1/2017,55.799999,56.150002,55.599998,56.02,43.0364,93000
2/2/2017,56.400002,57.34,56,56.43,43.351372,57700
2/3/2017,56.720001,57.009998,56.630001,56.77,43.612572,25400
2/6/2017,56.450001,56.540001,56.189999,56.400002,43.328331,20500
2/7/2017,56.41,56.849998,56.34,56.52,43.420517,48700
2/8/2017,55.939999,55.939999,55.09,55.400002,42.560097,58200
2/9/2017,55.720001,55.779999,55.200001,55.34,42.514,62300
2/10/2017,55.549999,56.02,55.540001,55.709999,42.798252,60800
2/13/2017,55.900002,56.349998,55.889999,56.009998,43.028709,173400
2/14/2017,56.919998,56.970001,56.240002,56.549999,43.443565,110100
2/15/2017,55.66,55.990002,55.509998,55.98,43.005669,49200
2/16/2017,55.82,56,55.689999,55.73,42.81361,47400
2/17/2017,55.18,55.32,54.759998,54.93,42.199028,91900
2/21/2017,55.459999,55.900002,55.279999,55.799999,42.86739,134500
2/22/2017,54.41,54.869999,54.360001,54.720001,42.037697,129300
2/23/2017,55.119999,55.119999,54.560001,54.630001,41.968555,121800
2/24/2017,54.169998,54.290001,54.049999,54.23,41.661263,44400
2/27/2017,54.049999,54.18,53.779999,54.139999,41.592121,88900
2/28/2017,53.16,53.220001,52.830002,52.880001,40.624153,66200
3/1/2017,53.389999,53.580002,53.240002,53.34,40.977531,117200
3/2/2017,52.84,52.919998,52.450001,52.599998,40.409042,72100
3/3/2017,52.290001,52.950001,52.290001,52.799999,40.562687,35700
3/6/2017,52.91,52.950001,52.650002,52.77,40.539639,224900
3/7/2017,52.68,52.77,52.490002,52.77,40.539639,124300
3/8/2017,51.900002,52.110001,50.91,50.959999,39.149139,176000
3/9/2017,49.990002,50.110001,49.619999,49.869999,38.311768,61500
3/10/2017,51.5,51.5,51.25,51.25,39.371929,53900
3/13/2017,51.93,52.25,51.650002,52.220001,40.117115,71000
3/14/2017,51.540001,51.98,51.330002,51.759998,39.763729,89300
3/15/2017,52.099998,53.549999,52.080002,53.32,40.96217,104100
3/16/2017,53.360001,53.650002,53.110001,53.57,41.154224,37400
3/17/2017,54.5,54.599998,53.560001,54.580002,41.930149,84800
3/20/2017,53.75,54,53.700001,53.790001,41.323242,39800
3/21/2017,54.32,54.509998,53.450001,53.48,41.085087,93600
3/22/2017,53.16,53.849998,52.939999,53.759998,41.30019,85900
3/23/2017,53.23,53.450001,53,53.400002,41.023628,81100
3/24/2017,53.150002,53.23,52.73,52.98,40.70097,80100
3/27/2017,51.98,52.950001,51.93,52.939999,40.670238,59400
3/28/2017,52.98,53.5,52.970001,53.310001,40.954491,142500
3/29/2017,53.509998,53.830002,53.200001,53.799999,41.330917,51700
3/30/2017,53.529999,53.529999,53.209999,53.41,41.031311,86900
3/31/2017,52.98,53.200001,52.77,53.060001,40.762432,136400
4/3/2017,53.41,53.799999,53.369999,53.799999,41.330917,39300
